ID,down,initial,up,YY,YN,NY,NN,NNY,NNN,No,Yes,income,male,age,c_water,I_P_water,I_P_sw_water,Clean_water,Se_service,I_sw_water,Smell,F_sw_water,I_sw_water,N_sw_water,E_health,E_water,E_ecosystem,E_smell,P_sw_water,P_water
2097,4500,9000,18000,0,1,0,0,0,0,0,1,350,1,55,3,4,4,3,3,1.333333333,4,4,3,4,4,4,4,4,3,0
2098,25000,50000,100000,0,0,1,0,0,0,1,0,650,1,27,4,3,3,4,4,1.333333333,2,4,4,5,3,5,4,5,3,1
2099,45000,90000,180000,0,0,1,0,0,0,1,0,350,0,50,4,4,4,4,4,1.666666667,4,4,4,5,4,4,5,4,3,1
2100,13500,27000,54000,0,0,0,1,0,1,1,0,500,0,42,4,4,4,5,5,2,2,4,3,5,5,5,5,5,3,0
2101,7500,15000,30000,0,0,0,1,0,1,1,0,30,1,48,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,0
2102,45000,90000,180000,0,0,0,1,0,1,1,0,650,1,30,2,5,5,5,5,1.833333333,2,4,1,5,5,5,5,5,3,0
2103,25000,50000,100000,0,1,0,0,0,0,0,1,550,0,41,5,5,5,5,5,1.666666667,5,2,4,4,4,5,4,5,4,0
2104,7500,15000,30000,0,0,0,1,0,1,1,0,330,1,49,3,5,4,5,3,1.333333333,4,4,3,4,4,5,4,4,3,0
2105,4500,9000,18000,1,0,0,0,0,0,0,1,370,1,46,4,4,4,5,4,1.333333333,2,3,3,5,5,4,4,4,4,1
2106,7500,15000,30000,0,0,0,1,0,1,1,0,310,1,47,5,5,5,5,5,2,3,3,5,5,5,5,5,5,4,0
2107,7500,15000,30000,0,1,0,0,0,0,0,1,620,1,30,4,4,4,4,4,1.166666667,3,4,3,4,3,4,4,3,3,0
2108,4500,9000,18000,0,1,0,0,0,0,0,1,300,0,43,5,4,4,4,4,2,3,4,3,5,3,4,4,4,4,1
2109,7500,15000,30000,0,0,1,0,0,0,1,0,130,0,27,3,4,4,4,4,1.833333333,4,4,3,4,3,3,3,4,3,0
2110,25000,50000,100000,0,0,0,1,0,1,1,0,830,1,51,4,4,4,4,3,1.166666667,3,2,4,4,4,4,4,5,2,0
2111,13500,27000,54000,1,0,0,0,0,0,0,1,220,1,41,4,5,3,3,4,1.5,4,4,3,4,4,4,5,4,4,0
2112,4500,9000,18000,1,0,0,0,0,0,0,1,880,1,25,4,3,4,3,2,1.5,3,4,4,3,4,4,2,3,3,0
2113,13500,27000,54000,0,0,1,0,0,0,1,0,690,0,45,4,5,5,5,5,1,4,3,4,4,4,4,4,4,2,1
2114,25000,50000,100000,1,0,0,0,0,0,0,1,490,1,39,5,5,4,4,5,1.666666667,4,3,4,5,4,5,5,5,3,0
2115,4500,9000,18000,0,1,0,0,0,0,0,1,420,0,27,4,4,4,5,4,1.5,5,4,4,4,4,5,4,4,3,0
2116,25000,50000,100000,1,0,0,0,0,0,0,1,450,1,47,4,4,4,4,4,1.666666667,4,4,4,4,3,4,3,3,3,1
2117,7500,15000,30000,0,1,0,0,0,0,0,1,600,1,38,4,3,3,4,4,1.5,4,3,4,3,3,4,4,3,4,0
2118,7500,15000,30000,0,0,1,0,0,0,1,0,360,1,39,4,4,2,4,3,1.833333333,2,4,4,4,4,4,4,5,2,1
2119,7500,15000,30000,0,0,0,1,0,1,1,0,500,1,36,4,4,3,3,4,2,3,3,2,4,4,3,3,2,4,0
2120,45000,90000,180000,0,0,0,1,1,0,1,0,130,0,42,5,5,5,5,5,2,4,3,4,5,5,5,5,5,3,0
2121,25000,50000,100000,1,0,0,0,0,0,0,1,800,1,38,3,4,4,5,4,2,1,4,3,4,3,3,3,4,3,0
2122,45000,90000,180000,0,0,0,1,1,0,1,0,120,1,48,5,4,4,4,5,1.666666667,3,4,2,5,5,5,5,5,3,1
2123,45000,90000,180000,0,0,0,1,0,1,1,0,150,0,39,5,4,3,3,4,2,2,3,3,5,4,5,5,4,4,0
2124,25000,50000,100000,0,0,0,1,0,1,1,0,180,1,24,3,3,4,4,3,1.666666667,3,4,3,3,2,3,3,3,3,0
2125,25000,50000,100000,0,0,0,1,0,1,1,0,450,0,57,4,5,5,4,4,1.666666667,4,2,4,4,4,4,3,4,3,0
2126,25000,50000,100000,0,0,0,1,1,0,1,0,200,1,34,3,4,4,3,2,1.666666667,3,3,3,3,3,4,3,4,3,0
2127,7500,15000,30000,0,0,1,0,0,0,1,0,240,1,47,5,5,5,5,5,1.166666667,4,3,5,5,4,5,4,4,4,1
2128,45000,90000,180000,0,0,0,1,0,1,1,0,300,1,39,3,4,4,4,4,1.666666667,3,4,2,4,3,4,3,4,4,1
2129,7500,15000,30000,0,0,0,1,1,0,1,0,100,0,35,5,5,5,4,4,1.333333333,3,3,3,3,4,5,4,4,3,0
2130,7500,15000,30000,0,1,0,0,0,0,0,1,420,1,56,4,3,4,4,2,1.333333333,3,4,3,4,3,4,3,3,3,0
2131,4500,9000,18000,1,0,0,0,0,0,0,1,440,1,40,5,3,3,3,4,1.166666667,2,3,4,5,4,5,3,5,2,1
2132,4500,9000,18000,1,0,0,0,0,0,0,1,360,1,54,4,4,4,3,4,1.666666667,4,3,3,4,4,5,4,5,3,0
2133,25000,50000,100000,0,0,0,1,0,1,1,0,420,0,40,3,4,3,5,4,1.833333333,3,4,3,5,4,3,3,4,1,0
2134,13500,27000,54000,0,0,0,1,0,1,1,0,490,0,45,4,4,4,4,4,1.166666667,3,4,3,4,4,4,4,5,3,0
2135,25000,50000,100000,0,0,0,1,0,1,1,0,260,1,34,4,5,5,5,5,1,4,3,5,5,5,5,5,5,4,1
2136,25000,50000,100000,0,0,1,0,0,0,1,0,520,0,58,4,4,4,5,5,1.333333333,2,4,4,5,5,5,5,5,3,0
2137,13500,27000,54000,0,0,0,1,1,0,1,0,650,1,35,5,4,3,4,3,1.5,3,3,4,4,4,4,3,3,3,1
2138,4500,9000,18000,1,0,0,0,0,0,0,1,800,1,58,4,4,4,5,5,1.166666667,4,3,5,5,5,5,5,5,4,1
2139,45000,90000,180000,1,0,0,0,0,0,0,1,270,0,33,4,2,2,4,3,2,1,4,3,5,4,4,4,3,3,1
2140,25000,50000,100000,0,0,0,1,0,1,1,0,280,0,22,2,4,3,4,4,2,2,3,1,4,4,4,4,4,4,0
2141,13500,27000,54000,0,0,0,1,0,1,1,0,240,1,59,3,4,3,4,4,1.666666667,2,4,3,4,3,4,4,3,3,0
2142,45000,90000,180000,0,0,1,0,0,0,1,0,490,1,31,3,5,4,5,5,2,3,2,2,3,2,3,3,3,2,0
2143,25000,50000,100000,0,1,0,0,0,0,0,1,390,0,55,4,4,4,4,4,1.166666667,4,4,4,3,4,4,4,4,4,1
2144,13500,27000,54000,0,0,0,1,0,1,1,0,230,1,31,4,3,3,3,3,2,2,4,4,4,3,3,3,4,2,0
2145,13500,27000,54000,0,0,0,1,0,1,1,0,650,0,33,4,4,3,4,3,1.5,4,3,3,4,4,4,4,4,3,0
2146,7500,15000,30000,0,1,0,0,0,0,0,1,370,0,26,4,5,5,4,4,1.5,3,3,3,5,4,5,5,5,3,0
2147,25000,50000,100000,0,1,0,0,0,0,0,1,330,1,45,4,5,4,4,4,1.5,4,4,4,5,4,4,4,5,4,0
2148,45000,90000,180000,1,0,0,0,0,0,0,1,9250,1,32,4,3,3,4,3,1.5,3,3,3,4,3,3,2,4,3,1
2149,13500,27000,54000,0,0,0,1,1,0,1,0,160,0,26,4,4,4,5,5,2,4,2,3,4,2,4,4,4,3,0
2150,25000,50000,100000,0,1,0,0,0,0,0,1,250,1,33,3,3,4,3,4,1.5,3,4,3,4,3,4,3,3,4,0
2151,13500,27000,54000,0,0,0,1,0,1,1,0,500,0,31,4,4,4,4,4,1.5,4,4,4,4,2,4,3,3,4,0
2152,25000,50000,100000,0,0,1,0,0,0,1,0,250,0,24,4,3,4,4,4,1.5,2,3,3,4,2,4,3,3,2,0
2153,7500,15000,30000,0,0,0,1,0,1,1,0,890,1,37,4,4,4,4,4,1.333333333,4,3,4,5,4,4,4,5,3,0
2154,25000,50000,100000,0,0,0,1,0,1,1,0,70,0,26,3,4,4,3,4,1.833333333,1,4,2,4,4,4,3,4,3,1
